,bottom in dim 0,bottom in dim 1,bottom in dim 2,bottom in dim 3,bottom in dim 4,bottom in dim 5,bottom in dim 6,bottom in dim 7,bottom in dim 8,bottom in dim 9,bottom in dim 10,bottom in dim 11,bottom in dim 12,bottom in dim 13,bottom in dim 14
chr1:2152904-2153373,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2224212-2225051,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2277692-2280071,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2282591-2285072,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2286551-2287059,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2304518-2307328,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2308689-2309143,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2320177-2321434,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2322063-2322477,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2443536-2444271,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2467197-2468404,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2493669-2494377,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2499290-2500518,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2539295-2541273,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2554083-2558016,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2575761-2579134,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
chr1:2592690-2593202,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2611248-2611508,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2628113-2629519,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2641105-2644205,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
chr1:2801549-2801962,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2821933-2822387,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2839912-2840841,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2894570-2895044,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:3032841-3033664,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:3070091-3070326,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:3316384-3317225,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:3424680-3425079,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:3453046-3455250,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:3483805-3484255,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:3530421-3532213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:3597232-3598270,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:3746820-3747737,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:3787280-3788011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:3883230-3884044,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:3889937-3891494,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
chr1:3922228-3922608,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:4006801-4008296,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:4027222-4028009,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:4044899-4045482,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:5388987-5389431,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:5977999-5978321,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6014700-6015059,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
chr1:6034427-6034833,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6041475-6041797,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6127449-6128685,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6148372-6149159,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6241915-6242769,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6293969-6295312,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6343402-6343847,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6347875-6349459,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6358244-6360368,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6365028-6365593,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6414321-6414682,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6419257-6420772,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6423357-6425448,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6446975-6449699,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6454720-6455758,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6459524-6461313,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False
chr1:6463520-6466638,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
chr1:6471383-6471806,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6485158-6487081,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6493257-6493625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6495089-6495490,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6496487-6498045,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6545670-6546063,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6727447-6727866,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:6962279-6963542,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:7669396-7670050,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:7752838-7753203,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:7827141-7827583,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:7975289-7975623,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:8127033-8127746,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:8152418-8153976,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:8167229-8167722,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:8169325-8170513,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
chr1:8182201-8182926,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:8217100-8217718,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:8382899-8383480,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:8397046-8397497,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:8409078-8409582,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:8472621-8473034,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:8495895-8497911,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:8517026-8517154,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:8520621-8520741,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:8643514-8643939,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:8700846-8702122,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:8970803-8971625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:8987820-8988460,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:9036624-9037847,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:9110677-9111219,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:9121963-9122486,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:9181212-9183087,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:9201735-9201999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:9266995-9267518,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:9280351-9280757,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:9292044-9295516,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
chr1:9410818-9411463,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
chr1:9591285-9591763,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:9657765-9658632,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:9685651-9686009,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:9702210-9702633,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:9711632-9712054,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:9728249-9731114,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:9768293-9768509,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:10507281-10507841,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:10510532-10511762,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:10514165-10514544,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:10525046-10525733,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
chr1:10638432-10639400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:10755834-10756345,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:10866475-10867714,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:10903730-10904126,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:10904682-10905267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:10941912-10942413,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:11335296-11335976,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:11478566-11480498,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
chr1:11501478-11501847,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:11690942-11693866,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:11711099-11711486,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:11725525-11726018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:11748793-11749604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:11761948-11762376,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:11905513-11906078,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:12047127-12047952,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:12087708-12089042,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:12148149-12148767,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:12165445-12165693,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:12171415-12175591,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
chr1:12196540-12197181,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:12201543-12202125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:12204106-12204418,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:12435632-12436072,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:12480761-12481294,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:12510207-12511335,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
chr1:13713557-13713958,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:13730200-13731720,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:13732971-13733448,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:13813609-13813985,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:15065733-15066552,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:15137793-15138249,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
chr1:15218530-15218925,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:15231640-15232136,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:15246928-15247649,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:15252991-15253241,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:15384332-15384780,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:15407242-15408038,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:15415753-15418250,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
chr1:15420083-15420483,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:15424499-15424647,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:15426218-15427768,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:15428697-15433362,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
chr1:15515094-15515421,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:15578865-15579483,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:15678495-15679020,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:15735031-15736582,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:15741248-15741818,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:15919367-15919658,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:15948613-15951748,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
chr1:15994453-15994945,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:16122805-16124040,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:16161842-16162822,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:16364763-16365256,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
chr1:16371718-16372230,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:16624111-16625335,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:16628734-16628744,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:16630296-16631204,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:16727124-16727906,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:16921540-16922299,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:16927580-16927934,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:16951448-16952140,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:17045164-17045535,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
chr1:17201621-17202018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:17212632-17213222,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:17502281-17502687,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
chr1:17615125-17615509,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:17640309-17640763,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:18182789-18183095,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:18651743-18652027,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:18875213-18875613,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:18884084-18884558,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:18923609-18924684,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
chr1:18934273-18934958,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:18938439-18939079,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:18972457-18973333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:19010985-19011494,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:19074249-19075122,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:19179614-19180017,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:19390407-19392352,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
chr1:19439816-19440198,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:19600106-19600746,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:19643412-19645540,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
chr1:19647609-19648055,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:19664252-19666021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:19687836-19688948,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
chr1:19917981-19918402,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:20185098-20186736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:20187380-20187562,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:20343103-20344026,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:20485322-20487248,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:20851802-20852111,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:20964816-20965202,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:21165679-21166012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:21195110-21195558,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:21278905-21279265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:21307659-21307948,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:21343421-21346399,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
chr1:21439744-21440667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:21622359-21622874,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:21651339-21652366,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:21658955-21659914,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:21668940-21670111,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:21936607-21937879,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:21956881-21957616,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:21963881-21964403,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:22039128-22040828,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
chr1:22104824-22106057,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:22142196-22143746,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:22416530-22417013,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:22428606-22429023,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:22750227-22750734,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:22976392-22976781,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:23110523-23111472,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
chr1:23177314-23178187,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
chr1:23216709-23217638,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:23423728-23425391,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:23436577-23437023,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:23451960-23452376,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:23524623-23526218,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:23548835-23549169,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
chr1:23591380-23592817,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:23600992-23601553,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:23607057-23607595,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:23611880-23612482,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:23626887-23629525,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
chr1:23657719-23657984,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:23751287-23751667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:23772047-23772575,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:23977440-23977638,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:24112477-24112913,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:24321508-24322727,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
chr1:24365141-24365729,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:24384155-24385543,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:24454798-24455134,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:24486058-24486816,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:24488240-24488474,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:24506484-24507914,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:24567948-24568425,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:24635187-24635595,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:24639989-24640128,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:24896699-24900335,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:24963259-24967301,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
chr1:24971273-24971877,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:24981236-24982049,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:24988132-24988638,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:24992537-24993191,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:24995149-24995541,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:24997442-24998043,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:25017719-25017796,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:25064451-25066484,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:25099221-25100793,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:25238925-25243232,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
chr1:25487570-25487914,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:25556624-25557094,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:25559982-25560362,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:25561588-25563736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:25566524-25566994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:25622006-25622949,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:25642166-25643309,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:25675840-25676789,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:25711488-25711912,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:25730749-25731114,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:25754791-25755270,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:25774339-25775903,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:25795978-25797583,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:25809498-25811455,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:25819070-25821557,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
chr1:25874689-25876305,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
chr1:25971284-25971695,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:25990563-25991512,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:26016991-26017373,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:26104874-26105400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:26144986-26145746,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:26152495-26153079,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:26200855-26202368,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
chr1:26225078-26225890,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:26358595-26361900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
