"","pathway","pval","padj","ES","NES","nMoreExtreme","size","col","method"
"38","cellular response to lipopolysaccharide (GO:0071222)",0.350666666666667,0.972028286002918,0.704239688983667,1.09539869383118,262,26,"X0","mofa"
"39","cellular response to metal ion (GO:0071248)",0.615606936416185,0.972028286002918,0.645681054182631,0.960879238923771,425,20,"X0","mofa"
"40","cellular response to molecule of bacterial origin (GO:0071219)",0.870860927152318,0.972028286002918,-0.442673353440369,-0.741086740045483,262,19,"X0","mofa"
"41","cellular response to organic cyclic compound (GO:0071407)",0.716931216931217,0.972028286002918,0.549447706189322,0.86174437496635,541,27,"X0","mofa"
"42","cellular response to organic substance (GO:0071310)",0.898666666666667,0.972028286002918,0.457799492003095,0.712077114399042,673,26,"X0","mofa"
"43","cellular response to oxidative stress (GO:0034599)",0.0654069767441861,0.972028286002918,0.888319944695561,1.28465011929521,44,15,"X0","mofa"
"44","cellular response to oxygen-containing compound (GO:1901701)",0.573417721518987,0.972028286002918,0.584243879539679,0.962238013085704,452,41,"X0","mofa"
"45","cellular response to peptide hormone stimulus (GO:0071375)",0.612582781456954,0.972028286002918,-0.553369203895138,-0.888976355282324,184,17,"X0","mofa"
"46","cellular response to transforming growth factor beta stimulus (GO:0071560)",0.806629834254144,0.972028286002918,0.526049380717602,0.803541132266812,583,24,"X0","mofa"
"47","cellular response to tumor necrosis factor (GO:0071356)",0.957671957671958,0.973580129726309,0.401635590559311,0.629918383591391,723,27,"X0","mofa"
"48","central nervous system development (GO:0007417)",0.961587708066581,0.974323969100576,0.394640880879543,0.645408318381367,750,38,"X0","mofa"
"49","chemical synaptic transmission (GO:0007268)",0.547085201793722,0.972028286002918,-0.500955498294028,-0.925350722868443,121,33,"X0","mofa"
"50","cilium assembly (GO:0060271)",0.211009174311927,0.972028286002918,-0.651212613631824,-1.20593284623457,45,34,"X0","mofa"
"51","cilium organization (GO:0044782)",0.158333333333333,0.972028286002918,-0.700684990435472,-1.26659763617544,37,29,"X0","mofa"
"52","collagen fibril organization (GO:0030199)",0.0369843527738265,0.958441558441558,0.87722371339621,1.31718452261832,25,21,"X0","mofa"
"53","cytokine-mediated signaling pathway (GO:0019221)",0.83668903803132,0.972028286002918,0.446624449060714,0.815340757284951,747,109,"X0","mofa"
"54","cytoskeleton organization (GO:0007010)",0.679856115107914,0.972028286002918,-0.462181830057588,-0.817580169334594,188,24,"X0","mofa"
"55","defense response to symbiont (GO:0140546)",0.043046357615894,0.958441558441558,-0.872073321444954,-1.40096802890389,12,17,"X0","mofa"
"56","defense response to virus (GO:0051607)",0.043046357615894,0.958441558441558,-0.872073321444954,-1.40096802890389,12,17,"X0","mofa"
"57","dephosphorylation (GO:0016311)",0.855820105820106,0.972028286002918,0.480389148755302,0.753434115879471,646,27,"X0","mofa"
"58","DNA metabolic process (GO:0006259)",0.919377652050919,0.972028286002918,0.445643582230718,0.673090340483799,649,22,"X0","mofa"
"59","DNA repair (GO:0006281)",0.18646408839779,0.972028286002918,0.785862576082391,1.20040613550375,134,24,"X0","mofa"
"60","DNA-templated transcription, initiation (GO:0006352)",0.809677419354839,0.972028286002918,-0.456144091125581,-0.776588483140406,250,20,"X0","mofa"
"61","double-strand break repair (GO:0006302)",0.807432432432432,0.972028286002918,-0.460405839635306,-0.759024382306928,238,18,"X0","mofa"
"62","endomembrane system organization (GO:0010256)",0.361189801699717,0.972028286002918,0.753313093987389,1.11500937185527,254,18,"X0","mofa"
"63","enzyme linked receptor protein signaling pathway (GO:0007167)",0.237547892720307,0.972028286002918,0.715955340029998,1.16319422233955,185,36,"X0","mofa"
"64","external encapsulating structure organization (GO:0045229)",0.218112244897959,0.972028286002918,0.726809426488191,1.17863689551345,170,34,"X0","mofa"
"65","extracellular matrix organization (GO:0030198)",0.286802030456853,0.972028286002918,0.681559862175618,1.12557138895562,225,44,"X0","mofa"
"66","extracellular structure organization (GO:0043062)",0.218112244897959,0.972028286002918,0.726809426488191,1.17863689551345,170,34,"X0","mofa"
"67","gene expression (GO:0010467)",0.937086092715232,0.972028286002918,-0.40748921294212,-0.682184391890791,282,19,"X0","mofa"
"68","generation of neurons (GO:0048699)",0.796961325966851,0.972028286002918,0.532965681453222,0.814105790886154,576,24,"X0","mofa"
"69","glycerophospholipid biosynthetic process (GO:0046474)",0.838709677419355,0.972028286002918,-0.449549545525615,-0.765361223456211,259,20,"X0","mofa"
"70","glycosaminoglycan biosynthetic process (GO:0006024)",0.577142857142857,0.972028286002918,0.663342173348819,0.983261398071248,403,19,"X0","mofa"
"71","granulocyte chemotaxis (GO:0071621)",0.359872611464968,0.972028286002918,-0.704655013734622,-1.1100827468031,112,15,"X0","mofa"
"72","heart development (GO:0007507)",0.803116147308782,0.972028286002918,0.53254363413547,0.788239508542052,566,18,"X0","mofa"
"73","hemopoiesis (GO:0030097)",0.923841059602649,0.972028286002918,-0.43151948800711,-0.693227268488452,278,17,"X0","mofa"
"74","inflammatory response (GO:0006954)",0.712962962962963,0.972028286002918,-0.437464605130565,-0.856689604642767,153,40,"X0","mofa"
"75","innate immune response (GO:0045087)",0.294805194805195,0.972028286002918,0.703178702017513,1.12751267138591,226,32,"X0","mofa"
"76","inorganic cation transmembrane transport (GO:0098662)",0.0666666666666667,0.972028286002918,0.836535591866302,1.30117630262513,49,26,"X0","mofa"
"77","intracellular protein transport (GO:0006886)",0.180026281208936,0.972028286002918,0.770168946180307,1.21239974628991,136,28,"X0","mofa"
"78","lipid transport (GO:0006869)",0.879084967320261,0.972028286002918,-0.448543501633816,-0.712344643960553,268,16,"X0","mofa"
"79","lymphocyte differentiation (GO:0030098)",0.534285714285714,0.972028286002918,0.68941010598359,1.0128034412237,373,17,"X0","mofa"
"80","MAPK cascade (GO:0000165)",0.907594936708861,0.972028286002918,0.426544904415753,0.70354173240474,716,42,"X0","mofa"
"81","membrane organization (GO:0061024)",0.507751937984496,0.972028286002918,-0.550980471578387,-0.966229392723637,130,25,"X0","mofa"
"82","metal ion transport (GO:0030001)",0.129360465116279,0.972028286002918,0.851867424384401,1.23193405134473,88,15,"X0","mofa"
"83","mitochondrion organization (GO:0007005)",0.714486638537271,0.972028286002918,0.572510703812209,0.869943773458864,507,23,"X0","mofa"
"84","modification-dependent protein catabolic process (GO:0019941)",0.943708609271523,0.972305839855509,-0.413133718527462,-0.663690904292486,284,17,"X0","mofa"
"85","modulation of chemical synaptic transmission (GO:0050804)",0.260115606936416,0.972028286002918,0.778902598100848,1.15913473194026,179,20,"X0","mofa"
"86","monocarboxylic acid metabolic process (GO:0032787)",0.77524893314367,0.972028286002918,0.550740907843362,0.826958264700247,544,21,"X0","mofa"
"87","negative regulation of angiogenesis (GO:0016525)",0.352941176470588,0.972028286002918,-0.687978311082264,-1.09259784898315,107,16,"X0","mofa"
"88","negative regulation of apoptotic process (GO:0043066)",0.509090909090909,0.972028286002918,-0.450001119966082,-0.952919413518027,83,60,"X0","mofa"
"89","negative regulation of apoptotic signaling pathway (GO:2001234)",0.0859872611464968,0.972028286002918,-0.869930460891932,-1.37045047112698,26,15,"X0","mofa"
"90","negative regulation of canonical Wnt signaling pathway (GO:0090090)",0.344594594594595,0.972028286002918,-0.659095771604215,-1.08658430857278,101,18,"X0","mofa"
"91","negative regulation of cell adhesion (GO:0007162)",0.510135135135135,0.972028286002918,-0.588804216764458,-0.97070175583213,150,18,"X0","mofa"
"92","negative regulation of cell differentiation (GO:0045596)",0.734439834024896,0.972028286002918,-0.452578990553506,-0.804206930056089,176,28,"X0","mofa"
"93","negative regulation of cell growth (GO:0030308)",0.829941860465116,0.972028286002918,0.528131092462409,0.763760484031305,570,15,"X0","mofa"
"94","negative regulation of cell migration (GO:0030336)",0.609882964889467,0.972028286002918,0.593141396674013,0.942987560607321,468,30,"X0","mofa"
"95","negative regulation of cell motility (GO:2000146)",0.759601706970128,0.972028286002918,0.556938978784198,0.836264902207517,533,21,"X0","mofa"
"96","negative regulation of cell population proliferation (GO:0008285)",0.904593639575972,0.972028286002918,0.423322896286455,0.735721134379112,767,65,"X0","mofa"
"97","negative regulation of cellular macromolecule biosynthetic process (GO:2000113)",0.550602409638554,0.972028286002918,0.57572887206747,0.978355047709836,456,52,"X0","mofa"
"98","negative regulation of cellular process (GO:0048523)",0.814398200224972,0.972028286002918,0.457101392500559,0.818275955401007,723,87,"X0","mofa"
"99","negative regulation of cytokine production (GO:0001818)",0.621004566210046,0.972028286002918,-0.477048462184665,-0.896369957534331,135,36,"X0","mofa"
"100","negative regulation of DNA-binding transcription factor activity (GO:0043433)",0.301003344481605,0.972028286002918,-0.653908255835326,-1.12726479936207,89,21,"X0","mofa"
"101","negative regulation of epithelial cell proliferation (GO:0050680)",0.899665551839465,0.972028286002918,-0.421681784117405,-0.726932299027977,268,21,"X0","mofa"
"102","negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)",0.0202702702702703,0.958441558441558,-0.892860656784394,-1.471968750524,5,18,"X0","mofa"
"103","negative regulation of gene expression (GO:0010629)",0.348600508905852,0.972028286002918,0.667577502763946,1.09611067423843,273,40,"X0","mofa"
"104","negative regulation of growth (GO:0045926)",0.8125,0.972028286002918,0.53612882071883,0.775326454850775,558,15,"X0","mofa"
"105","negative regulation of immune response (GO:0050777)",0.776824034334764,0.972028286002918,-0.438799636619751,-0.796527229004358,180,30,"X0","mofa"
"106","negative regulation of inflammatory response (GO:0050728)",0.459227467811159,0.972028286002918,-0.542821341654392,-0.98535172554639,106,30,"X0","mofa"
"107","negative regulation of inflammatory response to antigenic stimulus (GO:0002862)",0.832857142857143,0.972028286002918,0.511803419560094,0.758637948969477,582,19,"X0","mofa"
"108","negative regulation of intracellular signal transduction (GO:1902532)",0.507024265644955,0.972028286002918,0.62069632420508,1.00842934995428,396,36,"X0","mofa"
"109","negative regulation of macromolecule metabolic process (GO:0010605)",0.676975945017182,0.972028286002918,-0.48023688556988,-0.842904861981793,196,23,"X0","mofa"
"110","negative regulation of multicellular organismal process (GO:0051241)",0.847222222222222,0.972028286002918,-0.40437948272299,-0.783050787677043,182,39,"X0","mofa"
"111","negative regulation of nucleic acid-templated transcription (GO:1903507)",0.716791979949875,0.972028286002918,0.524226352448581,0.873920972704359,571,45,"X0","mofa"
"112","negative regulation of programmed cell death (GO:0043069)",0.927360774818402,0.972028286002918,0.411714104613173,0.697101696975985,765,51,"X0","mofa"
"113","negative regulation of protein phosphorylation (GO:0001933)",0.790664780763791,0.972028286002918,0.541447628416044,0.817790680930353,558,22,"X0","mofa"
"114","negative regulation of response to external stimulus (GO:0032102)",0.033112582781457,0.958441558441558,-0.870474533323953,-1.45727572979059,9,19,"X0","mofa"
"115","negative regulation of signal transduction (GO:0009968)",0.682242990654206,0.972028286002918,-0.441594327808592,-0.88063962044939,145,44,"X0","mofa"
"116","negative regulation of transcription by RNA polymerase II (GO:0000122)",0.558381502890173,0.972028286002918,0.548880881078006,0.96384927007868,482,72,"X0","mofa"
"117","negative regulation of transcription, DNA-templated (GO:0045892)",0.520089285714286,0.972028286002918,0.548847168809448,0.990355148311109,465,94,"X0","mofa"
"118","negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)",0.533783783783784,0.972028286002918,-0.577846900170075,-0.952637539995118,157,18,"X0","mofa"
"119","negative regulation of Wnt signaling pathway (GO:0030178)",0.523809523809524,0.972028286002918,-0.532908028032198,-0.93993933383165,131,26,"X0","mofa"
"120","nervous system development (GO:0007399)",0.668965517241379,0.972028286002918,0.519136642462073,0.912999223375044,581,75,"X0","mofa"
"121","neuron development (GO:0048666)",0.652050919377652,0.972028286002918,0.615366593045912,0.929436271834812,460,22,"X0","mofa"
"122","neuron differentiation (GO:0030182)",0.813725490196078,0.972028286002918,-0.482006974035389,-0.765488932634346,248,16,"X0","mofa"
"123","neuron projection development (GO:0031175)",0.545931758530184,0.972028286002918,0.618867808228921,0.984597272950494,415,31,"X0","mofa"
"124","neuron projection morphogenesis (GO:0048812)",0.756898817345598,0.972028286002918,0.529743818171371,0.833922574955725,575,28,"X0","mofa"
"125","neutrophil activation involved in immune response (GO:0002283)",0.0977011494252874,0.972028286002918,-0.617193023966894,-1.28081939204674,16,56,"X0","mofa"
"126","neutrophil degranulation (GO:0043312)",0.0977011494252874,0.972028286002918,-0.617193023966894,-1.28081939204674,16,56,"X0","mofa"
"127","neutrophil mediated immunity (GO:0002446)",0.0977011494252874,0.972028286002918,-0.617193023966894,-1.28081939204674,16,56,"X0","mofa"
"128","organelle assembly (GO:0070925)",0.292452830188679,0.972028286002918,-0.547934676538666,-1.08195099146254,61,42,"X0","mofa"
"129","organelle organization (GO:0006996)",0.693704600484262,0.972028286002918,0.529864564802135,0.897150433158106,572,51,"X0","mofa"
"130","organonitrogen compound biosynthetic process (GO:1901566)",0.649333333333333,0.972028286002918,0.595343229173337,0.926017385584804,486,26,"X0","mofa"
"131","peptidyl-serine modification (GO:0018209)",0.876770538243626,0.972028286002918,0.470249860097872,0.696035958099958,618,18,"X0","mofa"
"132","peptidyl-serine phosphorylation (GO:0018105)",0.898016997167139,0.972028286002918,0.459265796209061,0.679777998063376,633,18,"X0","mofa"
"133","peptidyl-tyrosine modification (GO:0018212)",0.11,0.972028286002918,0.850159438969048,1.24895820050128,76,17,"X0","mofa"
"134","peptidyl-tyrosine phosphorylation (GO:0018108)",0.547652916073969,0.972028286002918,0.667881300747728,1.00284898693084,384,21,"X0","mofa"
"135","phosphate-containing compound metabolic process (GO:0006796)",0.352713178294574,0.972028286002918,-0.628678893289903,-1.10248558091637,90,25,"X0","mofa"
"136","phosphatidylinositol biosynthetic process (GO:0006661)",0.162420382165605,0.972028286002918,-0.814410689733365,-1.28298704736882,50,15,"X0","mofa"
"137","phosphatidylinositol metabolic process (GO:0046488)",0.366013071895425,0.972028286002918,-0.682091318736188,-1.08324854963651,111,16,"X0","mofa"
"138","phosphorylation (GO:0016310)",0.71767497034401,0.972028286002918,0.50681327806379,0.878126860428029,604,63,"X0","mofa"
"139","plasma membrane bounded cell projection assembly (GO:0120031)",0.424657534246575,0.972028286002918,-0.52066955289543,-0.990483069492124,92,37,"X0","mofa"
"140","plasma membrane bounded cell projection organization (GO:0120036)",0.635724331926864,0.972028286002918,0.622360237126114,0.945691337351549,451,23,"X0","mofa"
"141","platelet degranulation (GO:0002576)",0.221774193548387,0.972028286002918,0.763675635433454,1.17695518134202,164,25,"X0","mofa"
"142","positive regulation of apoptotic process (GO:0043065)",0.665394402035623,0.972028286002918,0.557850117490713,0.915946786515579,522,40,"X0","mofa"
"143","positive regulation of canonical Wnt signaling pathway (GO:0090263)",0.790697674418605,0.972028286002918,0.554332322799282,0.801651577076031,543,15,"X0","mofa"
"144","positive regulation of cell differentiation (GO:0045597)",0.931210191082803,0.972028286002918,0.419315693813663,0.691005457352033,730,43,"X0","mofa"
"145","positive regulation of cell migration (GO:0030335)",0.622784810126582,0.972028286002918,0.568710708891896,0.93802953271467,491,42,"X0","mofa"
"146","positive regulation of cell motility (GO:2000147)",0.835249042145594,0.972028286002918,0.476680186959801,0.774450036718973,653,36,"X0","mofa"
"147","positive regulation of cell population proliferation (GO:0008284)",0.884571428571429,0.972028286002918,0.44063165472181,0.77719762059024,773,76,"X0","mofa"
"148","positive regulation of cell projection organization (GO:0031346)",0.485064011379801,0.972028286002918,0.686481811761813,1.03077835642507,340,21,"X0","mofa"
"149","positive regulation of cellular biosynthetic process (GO:0031328)",0.920833333333333,0.972028286002918,-0.382074388295815,-0.704810734553845,220,31,"X0","mofa"
"150","positive regulation of cellular catabolic process (GO:0031331)",0.952702702702703,0.973580129726309,-0.386076701503986,-0.636485475758261,281,18,"X0","mofa"
"151","positive regulation of cellular component organization (GO:0051130)",0.628378378378378,0.972028286002918,-0.525103503070312,-0.865684853999371,185,18,"X0","mofa"
"152","positive regulation of cellular metabolic process (GO:0031325)",0.241721854304636,0.972028286002918,-0.751634385528784,-1.20748533140067,72,17,"X0","mofa"
"153","positive regulation of cellular process (GO:0048522)",0.771850170261067,0.972028286002918,0.48178296383624,0.856608198015549,679,83,"X0","mofa"
"154","positive regulation of cellular protein metabolic process (GO:0032270)",0.905523255813954,0.972028286002918,0.465010832732371,0.672478677654744,622,15,"X0","mofa"
"155","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)",0.253182461103253,0.972028286002918,0.768677952578131,1.16099440327033,178,22,"X0","mofa"
"156","positive regulation of cytokine production (GO:0001819)",0.922341696535245,0.972028286002918,0.41358676647271,0.714487659541078,771,60,"X0","mofa"
"157","positive regulation of cytosolic calcium ion concentration (GO:0007204)",0.035031847133758,0.958441558441558,-0.89425736102019,-1.40877400759407,10,15,"X0","mofa"
"158","positive regulation of defense response (GO:0031349)",0.730878186968839,0.972028286002918,0.584252601379655,0.864776055625075,515,18,"X0","mofa"
"159","positive regulation of developmental process (GO:0051094)",0.554666666666667,0.972028286002918,0.636052848424542,0.989338531001203,415,26,"X0","mofa"
"160","positive regulation of DNA-binding transcription factor activity (GO:0051091)",0.745283018867924,0.972028286002918,-0.43246853695525,-0.853083227766575,157,41,"X0","mofa"
"161","positive regulation of ERK1 and ERK2 cascade (GO:0070374)",0.102730819245774,0.972028286002918,0.80295277183193,1.27654970608773,78,30,"X0","mofa"
"162","positive regulation of gene expression (GO:0010628)",0.705128205128205,0.972028286002918,0.507929207631099,0.885501387829175,604,67,"X0","mofa"
"163","positive regulation of GTPase activity (GO:0043547)",0.116219667943806,0.972028286002918,0.773911779673903,1.25735455884648,90,36,"X0","mofa"
"164","positive regulation of hydrolase activity (GO:0051345)",0.667127071823204,0.972028286002918,0.600153216937967,0.916734841155126,482,24,"X0","mofa"
"165","positive regulation of interferon-gamma production (GO:0032729)",0.814189189189189,0.972028286002918,-0.458762307059938,-0.756314856948153,240,18,"X0","mofa"
"166","positive regulation of intracellular protein transport (GO:0090316)",0.699346405228758,0.972028286002918,-0.525297020434747,-0.834239081899828,213,16,"X0","mofa"
"167","positive regulation of intracellular signal transduction (GO:1902533)",0.655413271245634,0.972028286002918,0.52416575613015,0.91736336308892,562,70,"X0","mofa"
"168","positive regulation of kinase activity (GO:0033674)",0.340341655716163,0.972028286002918,0.698043095389612,1.09885925152799,258,28,"X0","mofa"
"169","positive regulation of macromolecule biosynthetic process (GO:0010557)",0.819397993311037,0.972028286002918,-0.451980793737422,-0.779164407577436,244,21,"X0","mofa"
"170","positive regulation of macromolecule metabolic process (GO:0010604)",0.365942028985507,0.972028286002918,0.631407508634149,1.07988644134484,302,56,"X0","mofa"
"171","positive regulation of MAPK cascade (GO:0043410)",0.287990196078431,0.972028286002918,0.670505175355831,1.12625824092998,234,48,"X0","mofa"
"172","positive regulation of metabolic process (GO:0009893)",0.821529745042493,0.972028286002918,0.51362214962242,0.760233049169639,579,18,"X0","mofa"
"173","positive regulation of multicellular organismal process (GO:0051240)",0.482954545454545,0.972028286002918,-0.47262790156824,-0.962146092435932,84,51,"X0","mofa"
"174","positive regulation of NF-kappaB transcription factor activity (GO:0051092)",0.105691056910569,0.972028286002918,-0.739619945295037,-1.31481319817542,25,27,"X0","mofa"
"175","positive regulation of nucleic acid-templated transcription (GO:1903508)",0.921113689095128,0.972028286002918,0.413988917981374,0.723708723009371,793,68,"X0","mofa"
"176","positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)",0.0919842312746386,0.972028286002918,0.818449112087073,1.28840237037194,69,28,"X0","mofa"
"177","positive regulation of phosphorylation (GO:0042327)",0.513784461152882,0.972028286002918,0.59871115737765,0.998092206888338,409,45,"X0","mofa"
"178","positive regulation of programmed cell death (GO:0043068)",0.560509554140127,0.972028286002918,0.595194905544249,0.980843154661345,439,43,"X0","mofa"
"179","positive regulation of protein catabolic process (GO:0045732)",0.64968152866242,0.972028286002918,-0.555591334104424,-0.87525433331396,203,15,"X0","mofa"
"180","positive regulation of protein kinase activity (GO:0045860)",0.293103448275862,0.972028286002918,-0.607934910512759,-1.12850855923966,67,32,"X0","mofa"
"181","positive regulation of protein kinase B signaling (GO:0051897)",0.331896551724138,0.972028286002918,-0.57799528804492,-1.07293168804656,76,32,"X0","mofa"
"182","positive regulation of protein localization to membrane (GO:1905477)",0.374172185430464,0.972028286002918,-0.643862920945821,-1.07790150324505,112,19,"X0","mofa"
"183","positive regulation of protein metabolic process (GO:0051247)",0.251655629139073,0.972028286002918,-0.705512328889585,-1.18110979080902,75,19,"X0","mofa"
"184","positive regulation of protein modification process (GO:0031401)",0.562337662337662,0.972028286002918,0.603234637750547,0.967257250441716,432,32,"X0","mofa"
"185","positive regulation of protein phosphorylation (GO:0001934)",0.26207729468599,0.972028286002918,0.671880124605667,1.14401291332589,216,53,"X0","mofa"
"186","positive regulation of protein secretion (GO:0050714)",0.55316091954023,0.972028286002918,0.682808253184027,0.997607952450813,384,16,"X0","mofa"
"187","positive regulation of protein serine/threonine kinase activity (GO:0071902)",0.172185430463576,0.972028286002918,-0.774027050883915,-1.29581141351407,51,19,"X0","mofa"
"188","positive regulation of protein-containing complex assembly (GO:0031334)",0.743243243243243,0.972028286002918,-0.48216697952205,-0.794899765151581,219,18,"X0","mofa"
"189","positive regulation of response to external stimulus (GO:0032103)",0.488135593220339,0.972028286002918,-0.551843473727355,-0.959292836300156,143,22,"X0","mofa"
"190","positive regulation of signal transduction (GO:0009967)",0.80126582278481,0.972028286002918,0.486806757394848,0.801761016925637,632,41,"X0","mofa"
"191","positive regulation of transcription by RNA polymerase II (GO:0045944)",0.428571428571429,0.972028286002918,-0.413181724777725,-0.992933298415137,44,111,"X0","mofa"
"192","positive regulation of transcription, DNA-templated (GO:0045893)",0.877682403433476,0.972028286002918,0.424802602303044,0.791481842976929,817,145,"X0","mofa"
"193","positive regulation of transferase activity (GO:0051347)",0.896325459317585,0.972028286002918,0.449701219668635,0.711322489647656,682,29,"X0","mofa"
"194","positive regulation of transport (GO:0051050)",0.165605095541401,0.972028286002918,-0.811803368653837,-1.27887958756318,51,15,"X0","mofa"
"195","positive regulation of Wnt signaling pathway (GO:0030177)",0.232258064516129,0.972028286002918,-0.704825942742829,-1.19997106265697,71,20,"X0","mofa"
"196","post-translational protein modification (GO:0043687)",0.143044619422572,0.972028286002918,0.785219012476642,1.2420334178438,108,29,"X0","mofa"
"197","potassium ion transmembrane transport (GO:0071805)",0.0421511627906977,0.958441558441558,0.905914005921706,1.31009389435398,28,15,"X0","mofa"
"198","proteasomal protein catabolic process (GO:0010498)",0.27,0.972028286002918,0.78923321897505,1.15945228125944,188,17,"X0","mofa"
"199","proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)",0.544554455445545,0.972028286002918,0.661293024337499,0.998802551318797,384,22,"X0","mofa"
